Month,Department,Budget_AED,Actual_Spend_AED,Variance_AED,Variance_%,Category
Jan,Operations,98177.35,95153.94,-3023.41,-3.1,Marketing
Feb,Operations,101860.38,103820.98,1960.6,1.9,Software
Mar,Operations,85014.92,75171.85,-9843.07,-11.6,Software
Apr,Operations,96305.1,110930.91,14625.81,15.2,Salaries
May,Operations,84901.22,75907.87,-8993.35,-10.6,Operations
Jun,Operations,87642.96,85544.96,-2098.0,-2.4,Operations
Jul,Operations,84138.16,88368.16,4230.0,5.0,Other
Aug,Operations,87957.53,90090.06,2132.53,2.4,Operations
Sep,Operations,86151.39,87159.9,1008.51,1.2,Marketing
Oct,Operations,96115.12,94565.4,-1549.72,-1.6,Salaries
Nov,Operations,92800.71,86879.31,-5921.4,-6.4,Software
Dec,Operations,90478.71,105765.9,15287.19,16.9,Marketing
Jan,Marketing,135316.44,120164.31,-15152.12,-11.2,Software
Feb,Marketing,129457.17,139645.42,10188.24,7.9,Salaries
Mar,Marketing,132287.87,146794.83,14506.96,11.0,Software
Apr,Marketing,144220.77,121178.01,-23042.76,-16.0,Marketing
May,Marketing,131308.36,126479.73,-4828.63,-3.7,Marketing
Jun,Marketing,133990.14,128287.92,-5702.22,-4.3,Salaries
Jul,Marketing,122502.36,135328.01,12825.65,10.5,Software
Aug,Marketing,138611.84,170178.49,31566.65,22.8,Marketing
Sep,Marketing,121458.44,109850.21,-11608.23,-9.6,Software
Oct,Marketing,126313.22,155679.21,29365.99,23.2,Operations
Nov,Marketing,142672.97,140698.67,-1974.31,-1.4,Operations
Dec,Marketing,123538.67,111724.27,-11814.39,-9.6,Software
Jan,IT,205529.7,168213.33,-37316.37,-18.2,Salaries
Feb,IT,198876.38,179030.4,-19845.98,-10.0,Salaries
Mar,IT,202606.04,197350.5,-5255.53,-2.6,Marketing
Apr,IT,218332.08,220776.32,2444.24,1.1,Software
May,IT,217582.77,259716.47,42133.7,19.4,Marketing
Jun,IT,218500.61,266473.66,47973.05,22.0,Salaries
Jul,IT,221600.27,196843.42,-24756.84,-11.2,Software
Aug,IT,218347.34,242064.48,23717.13,10.9,Salaries
Sep,IT,212658.07,166857.06,-45801.01,-21.5,Salaries
Oct,IT,219009.74,211093.06,-7916.67,-3.6,Software
Nov,IT,215519.47,250134.87,34615.4,16.1,Marketing
Dec,IT,185797.09,178389.06,-7408.02,-4.0,Software
Jan,HR,90176.19,95035.37,4859.18,5.4,Operations
Feb,HR,97337.55,79239.96,-18097.59,-18.6,Salaries
Mar,HR,92281.78,75323.8,-16957.98,-18.4,Salaries
Apr,HR,90773.98,75774.66,-14999.32,-16.5,Marketing
May,HR,95820.13,73478.43,-22341.7,-23.3,Software
Jun,HR,94746.48,117255.39,22508.91,23.8,Salaries
Jul,HR,83516.13,99246.43,15730.3,18.8,Operations
Aug,HR,84024.69,81568.22,-2456.47,-2.9,Marketing
Sep,HR,95612.1,79753.65,-15858.45,-16.6,Marketing
Oct,HR,94941.16,97301.12,2359.96,2.5,Salaries
Nov,HR,81126.93,72265.18,-8861.75,-10.9,Operations
Dec,HR,81292.16,61303.09,-19989.07,-24.6,Salaries
Jan,Finance,84449.35,64316.22,-20133.13,-23.8,Software
Feb,Finance,94388.41,90945.75,-3442.65,-3.6,Salaries
Mar,Finance,87752.7,91716.75,3964.05,4.5,Operations
Apr,Finance,99762.19,86873.06,-12889.13,-12.9,Salaries
May,Finance,96821.26,117473.86,20652.6,21.3,Software
Jun,Finance,95746.04,113277.09,17531.05,18.3,Marketing
Jul,Finance,97583.87,74354.18,-23229.69,-23.8,Salaries
Aug,Finance,86769.39,70310.65,-16458.75,-19.0,Operations
Sep,Finance,82287.08,89386.85,7099.77,8.6,Salaries
Oct,Finance,88287.12,84671.74,-3615.38,-4.1,Salaries
Nov,Finance,91197.47,92793.05,1595.58,1.7,Salaries
Dec,Finance,95122.06,78960.93,-16161.12,-17.0,Salaries
Jan,Sales,136854.91,116756.8,-20098.11,-14.7,Operations
Feb,Sales,149471.0,120090.74,-29380.26,-19.7,Salaries
Mar,Sales,132767.4,129519.81,-3247.58,-2.4,Salaries
Apr,Sales,140317.56,169966.88,29649.32,21.1,Salaries
May,Sales,144478.48,151386.08,6907.6,4.8,Marketing
Jun,Sales,127970.11,143635.16,15665.06,12.2,Operations
Jul,Sales,143172.07,127965.76,-15206.31,-10.6,Marketing
Aug,Sales,146215.56,157653.29,11437.73,7.8,Salaries
Sep,Sales,153549.46,188511.4,34961.94,22.8,Software
Oct,Sales,142893.72,110001.62,-32892.09,-23.0,Other
Nov,Sales,149208.75,159392.42,10183.67,6.8,Marketing
Dec,Sales,131515.06,118866.9,-12648.16,-9.6,Salaries
